Facility,Region,County,Y,X,MMBTU_potential,Type,Type_Num
Melvin Nursery #3,Fayetteville,Bladen,34.756116,-78.480377,650,Swine - Farrow to Wean,1
Melvin Nursery #1,Fayetteville,Bladen,34.760661,-78.481497,650,Swine - Farrow to Wean,1
Herbert Aycock Farm,Wilmington,Duplin,34.7619,-77.731,650,Swine - Feeder to Finish,3
Linwood Jenkins Farm,Wilmington,Duplin,34.7636,-77.7408,650,Swine - Wean to Feeder,2
Lori Mobley Nursery,Wilmington,Onslow,34.7653,-77.6589,650,Swine - Feeder to Finish,3
Dan B. Nursery,Wilmington,Duplin,34.7662,-77.79864,650,Swine - Feeder to Finish,3
Ray Nursery,Fayetteville,Bladen,34.776102,-78.497697,650,Swine - Feeder to Finish,3
Harvey Coble Nursery,Fayetteville,Bladen,34.780672,-78.496988,650,Swine - Feeder to Finish,3
John Hardison Jr,Wilmington,Duplin,34.782226,-77.983596,650,Swine - Feeder to Finish,3
Old Camps Farm- Site 4,Wilmington,Duplin,34.7922,-78.1544,650,Swine - Farrow to Wean,1
Sling Shaw Farm,Fayetteville,Bladen,34.800433,-78.562763,650,Swine - Feeder to Finish,3
South River Nursery,Fayetteville,Bladen,34.805708,-78.466488,650,Swine - Wean to Feeder,2
Pierce Nursery,Wilmington,Duplin,34.8069,-77.7958,650,Swine - Farrow to Wean,1
James Michael Batts Farm,Wilmington,Duplin,34.8083,-77.7417,650,Swine - Feeder to Finish,3
Oliver Livestock,Fayetteville,Sampson,34.842003,-78.395361,650,Swine - Feeder to Finish,3
Allen Cannady Farm #2,Fayetteville,Sampson,34.845069,-78.379272,650,Swine - Wean to Feeder,2
JRock 3,Fayetteville,Sampson,34.845438,-78.355986,650,Swine - Wean to Feeder,2
DW & F #2,Fayetteville,Sampson,34.854783,-78.306675,650,Swine - Farrow to Wean,1
Chris Drew Nursery,Wilmington,Duplin,34.8553,-78.0986,650,Swine - Feeder to Finish,3
Pig Life III,Wilmington,Duplin,34.8571,-77.8934,650,Swine - Feeder to Finish,3
Pig Life I,Wilmington,Duplin,34.857872,-77.915526,650,Swine - Feeder to Finish,3
Tommy Melvin Farm #2,Fayetteville,Sampson,34.85803,-78.428672,650,Swine - Feeder to Finish,3
Blue Clay Nursery,Wilmington,Duplin,34.859811,-77.817853,650,Swine - Feeder to Finish,3
Pig Life II,Wilmington,Duplin,34.8617,-77.8931,650,Swine - Farrow to Wean,1
Wayne Watts Farm,Fayetteville,Sampson,34.867694,-78.325011,650,Swine - Wean to Feeder,2
Elizabeth Watts Farm,Fayetteville,Sampson,34.868994,-78.310906,650,Swine - Wean to Feeder,2
ADJ Nursery #4,Fayetteville,Sampson,34.90698,-78.470169,650,Swine - Wean to Feeder,2
Last Chance Pig Farm,Fayetteville,Sampson,34.948228,-78.5431,650,Swine - Wean to Finish,6
W. S. Matthews Farms,Wilmington,Duplin,34.9619,-78.0717,650,Swine - Feeder to Finish,3
Steve Jones Nursery,Wilmington,Duplin,34.9744,-77.7789,650,Swine - Feeder to Finish,3
Triple D Nursery,Fayetteville,Sampson,34.978338,-78.533797,650,Swine - Feeder to Finish,3
JBK,Fayetteville,Sampson,34.984416,-78.432794,650,Swine - Feeder to Finish,3
Boneys Hog Farm #11,Fayetteville,Sampson,35.003816,-78.392352,650,Swine - Feeder to Finish,3
Sutton III Nursery,Wilmington,Duplin,35.0072,-78.025,650,Swine - Farrow to Feeder,4
Pig City,Wilmington,Duplin,35.0139,-78.0294,650,Swine - Feeder to Finish,3
SJ & A Farm,Wilmington,Duplin,35.0333,-77.8861,650,Swine - Feeder to Finish,3
Gerald's Nursery,Wilmington,Duplin,35.042344,-77.956433,650,Swine - Farrow to Wean,1
Paulette's Nursery,Wilmington,Duplin,35.0433,-77.9567,650,Swine - Feeder to Finish,3
Lindsey Pope House #9,Fayetteville,Sampson,35.070988,-78.4078,650,Swine - Wean to Feeder,2
Moss Hill Farm,Washington,Craven,35.2549,-77.213667,650,Swine - Feeder to Finish,3
Double C Too,Washington,Greene,35.4583,-77.7836,650,Swine - Wean to Feeder,2
S & K Nursery 2,Washington,Greene,35.4631,-77.7631,650,Swine - Feeder to Finish,3
Joyce & Jesse Oakes Nursery #2 -Nahunta #2,Washington,Greene,35.497062,-77.77155,650,Swine - Feeder to Finish,3
J&T Nursery,Wilmington,Duplin,34.8603,-77.8128,650,Swine - Farrow to Feeder,4
Millertown Farm,Wilmington,Duplin,34.9278,-77.8161,650,Swine - Feeder to Finish,3
Dail Brothers - Pig Crib Nursery,Wilmington,Duplin,34.9708,-78.0292,650,Swine - Farrow to Wean,1
Dark Branch Farm,Wilmington,Duplin,35.0097,-77.9175,650,Swine - Farrow to Wean,1
Charles Chapman Nursery #1 - Nahunta #1,Washington,Greene,35.5,-77.7717,650,Swine - Wean to Finish,6
Carlisle Farms Inc,Fayetteville,Sampson,35.067889,-78.616111,630,Swine - Wean to Feeder,2
Stallings Family Farm,Washington,Chowan,36.3261,-76.5708,626,Swine - Feeder to Finish,3
Brent Riggs Farm,Washington,Jones,34.9419,-77.3189,625,Swine - Wean to Feeder,2
Doug Bordeaux Farm #1,Fayetteville,Bladen,34.650536,-78.549316,621,Swine - Feeder to Finish,3
Sheral Daniels Farm,Fayetteville,Sampson,35.125736,-78.522872,619,Swine - Wean to Feeder,2
Blue Ribbon Swine,Fayetteville,Moore,35.400741,-79.452463,600,Swine - Feeder to Finish,3
Garland Sow Farm,Fayetteville,Sampson,34.803041,-78.419111,580,Swine - Feeder to Finish,3
7097 - Gibson Farm,Fayetteville,Scotland,34.769574,-79.562001,576,Swine - Feeder to Finish,3
Pig Paradise,Washington,Craven,35.2872,-77.3851,562,Swine - Feeder to Finish,3
Dixie Farms,Fayetteville,Moore,35.451186,-79.475536,552,Swine - Feeder to Finish,3
Askin Boar Stud,Washington,Craven,35.2139,-77.003442,538,Swine - Feeder to Finish,3
R&R Pork Farm,Fayetteville,Hoke,35.003227,-79.318591,527,Swine - Feeder to Finish,3
Px-10,Fayetteville,Bladen,34.510091,-78.751577,515,Swine - Farrow to Wean,1
Pineland Grain Co Farm,Fayetteville,Bladen,34.614791,-78.784527,515,Swine - Farrow to Wean,1
P-58,Fayetteville,Sampson,34.899091,-78.223441,515,Swine - Feeder to Finish,3
P-42,Fayetteville,Sampson,34.906008,-78.520419,515,Swine - Feeder to Finish,3
P-13,Fayetteville,Sampson,34.923838,-78.419369,515,Swine - Wean to Feeder,2
Px-8,Fayetteville,Sampson,34.940236,-78.255402,515,Swine - Farrow to Wean,1
Craig Farms,Washington,Wayne,35.3489,-78.1169,515,Swine - Feeder to Finish,3
Shepard Farm,Wilmington,Onslow,34.5269,-77.5919,514,Swine - Farrow to Wean,1
Morrell Farm,Wilmington,Duplin,34.984385,-77.70806,514,Swine - Feeder to Finish,3
White Ridge Farm,Raleigh,Warren,36.5361,-78.2086,514,Swine - Feeder to Finish,3
Douglas E. Cowan Farms,Washington,Craven,35.2163,-77.0575,493,Swine - Feeder to Finish,3
Central Crops Research Station,Raleigh,Johnston,35.670666,-78.514883,453,Swine - Wean to Finish,6
Ivey's Spring Creek Farm,Washington,Wayne,35.2439,-77.945,445,Swine - Feeder to Finish,3
Philco Farms,Wilmington,Onslow,34.7872,-77.6261,444,Swine - Feeder to Finish,3
"D and B Nursery, Site # 1",Wilmington,Duplin,34.9856,-77.9328,444,Swine - Feeder to Finish,3
Doug Herring Farm,Wilmington,Duplin,35.0731,-77.8406,444,Swine - Farrow to Wean,1
Sullivan Poultry,Fayetteville,Richmond,35.009406,-79.710894,440,Swine - Wean to Feeder,2
K & T Farm,Wilmington,Duplin,35.0758,-77.8389,440,Swine - Feeder to Finish,3
Robert Cox Green Farm,Washington,Jones,35.0686,-77.445,411,Swine - Feeder to Finish,3
Elroy Farm,Washington,Wayne,35.3272,-77.9011,411,Swine - Feeder to Finish,3
Robersonville Boar Stud Farm,Washington,Martin,35.836863,-77.221698,403,Swine - Feeder to Finish,3
Lenior Boar Stud,Washington,Lenoir,35.0509,-77.6606,399,Swine - Feeder to Finish,3
Lenoir Swine Breeders Inc,Washington,Lenoir,35.1833,-77.69798,377,Swine - Feeder to Finish,3
S & K Nursery,Washington,Greene,35.396999,-77.592801,370,Swine - Wean to Feeder,2
Craig Collins Farm,Fayetteville,Sampson,34.66978,-78.293844,353,Swine - Feeder to Finish,3
Williamston Boar Stud Farm,Washington,Martin,35.8783,-77.138489,353,Swine - Wean to Finish,6
Middlesex Sow Farm,Raleigh,Nash,35.8568,-78.1358,330,Swine - Feeder to Finish,3
Hill Farms 2,Raleigh,Nash,35.9022,-77.9617,308,Swine - Feeder to Finish,3
Davis Nursery,Fayetteville,Sampson,34.995886,-78.409569,300,Swine - Wean to Feeder,2
James Frank Williams,Fayetteville,Sampson,35.045619,-78.648836,300,Swine - Feeder to Finish,3
Wooten Farm,Wilmington,Columbus,34.4381,-78.7347,279,Swine - Farrow to Feeder,4
Dail Hog Farm,Washington,Lenoir,35.3314,-77.697586,279,Swine - Wean to Feeder,2
Sampson Boar Stud / Farm 78060,Fayetteville,Sampson,34.708861,-78.345352,266,Swine - Feeder to Finish,3
Bladen Boar Stud,Fayetteville,Bladen,34.847997,-78.786366,266,Swine - Feeder to Finish,3
Cow Pen Branch Farm,Washington,Craven,35.1801,-77.211008,266,Swine - Farrow to Wean,1
Boarhead AI-Lab & Isolation,Washington,Wayne,35.3556,-77.8778,233,Swine - Feeder to Finish,3
NC A&T Porcine Research Laboratory,Winston-Salem,Guilford,36.0667,-79.7267,233,Swine - Feeder to Finish,3
Clinton A. I. Center,Fayetteville,Sampson,34.908402,-78.25845,223,Swine - Wean to Feeder,2
Piedmont L/S Co Farm,Winston-Salem,Alamance,36.1742,-79.4994,206,Swine - Feeder to Finish,3
Garland Brock Farm,Wilmington,Duplin,34.8975,-77.8836,180,Swine - Wean to Finish,6
"Lafayette Farms, LLC  New Nursery",Fayetteville,Sampson,34.907025,-78.364883,175,Swine - Farrow to Wean,1
Paul G. Hatley Hog Farm,Raleigh,Person,36.265,-79.0122,163,Swine - Feeder to Finish,3
Foushee Farms LLC,Raleigh,Person,36.3253,-79.0053,142,Multiple,7
Best AI - Boar,Washington,Wayne,35.2414,-77.9247,133,Swine - Feeder to Finish,3
