ACRES_AG_1MI,BIRD_COUNT,Barns,COUNTYNAME,Operation,APP_RATE,Status,WASTE_OUTPUT,TYPE,X,Y,MMBTU_potential
182,26772,2,Alexander,Unknown,2659,Unknown,242,Poultry - Broiler,-81.0389,35.9553,1847.7662669421645
447,13386,1,Alexander,Unknown,541,Unknown,121,Poultry - Broiler,-81.0213,35.9471,923.8831334710823
216,16490,2,Iredell,B+A FARMS OF NC LLC,2333,Unknown,252,Poultry - Layer,-80.9728,35.9494,1924.1202449149812
241,8245,1,Iredell,Unknown,1046,Unknown,126,Poultry - Layer,-80.9636,35.9568,962.0601224574906
505,24735,3,Iredell,Unknown,1497,Unknown,378,Poultry - Layer,-80.9506,35.9323,2886.1803673724717
853,16490,2,Iredell,Unknown,591,Unknown,252,Poultry - Layer,-80.8892,35.9282,1924.1202449149812
415,24735,3,Iredell,Unknown,1822,Unknown,378,Poultry - Layer,-80.7536,35.9276,2886.1803673724717
342,8245,1,Iredell,Unknown,737,Unknown,126,Poultry - Layer,-80.7079,35.9285,962.0601224574906
3,5620,1,Caldwell,Unknown,26667,Unknown,40,Poultry - Broiler,-81.3827,35.9155,305.41591189126683
0,22480,4,Caldwell,Unknown,0,Unknown,162,Poultry - Broiler,-81.3509,35.9365,1236.9344431596307
16,26772,2,Alexander,Unknown,30250,Unknown,242,Poultry - Broiler,-81.3168,35.9297,1847.7662669421645
115,107088,8,Alexander,Unknown,16852,Unknown,969,Poultry - Broiler,-81.2627,35.9379,7398.700465565939
131,107088,8,Alexander,HERMAN FARMS %,14794,Unknown,969,Poultry - Broiler,-81.2574,35.9421,7398.700465565939
65,66930,5,Alexander,Unknown,18646,Unknown,606,Poultry - Broiler,-81.1875,35.9438,4627.051065152693
169,40158,3,Alexander,Unknown,4296,Unknown,363,Poultry - Broiler,-81.1358,35.9344,2771.6494004132464
310,13386,1,Alexander,Unknown,781,Unknown,121,Poultry - Broiler,-81.0888,35.9219,923.8831334710823
269,53544,4,Alexander,Unknown,3599,Unknown,484,Poultry - Broiler,-81.0652,35.9313,3695.532533884329
216,26772,2,Alexander,Unknown,2241,Unknown,242,Poultry - Broiler,-81.0469,35.9342,1847.7662669421645
308,13386,1,Alexander,Unknown,786,Unknown,121,Poultry - Broiler,-81.0299,35.939,923.8831334710823
351,16490,2,Iredell,Unknown,1436,Unknown,252,Poultry - Layer,-81.0017,35.9233,1924.1202449149812
649,16490,2,Iredell,Unknown,777,Unknown,252,Poultry - Layer,-80.9195,35.9372,1924.1202449149812
835,16490,2,Iredell,Unknown,604,Unknown,252,Poultry - Layer,-80.9103,35.9387,1924.1202449149812
769,16490,2,Iredell,Unknown,655,Unknown,252,Poultry - Layer,-80.875,35.9268,1924.1202449149812
480,10808,2,Davie,Unknown,596,Unknown,143,Poultry - Pullet,-80.6912,35.9173,1091.861885011279
0,5620,1,Caldwell,Unknown,0,Unknown,40,Poultry - Broiler,-81.3925,35.9029,305.41591189126683
25,5620,1,Caldwell,Unknown,3200,Unknown,40,Poultry - Broiler,-81.3739,35.9031,305.41591189126683
22,26772,2,Alexander,Unknown,22000,Unknown,242,Poultry - Broiler,-81.327,35.8977,1847.7662669421645
19,66930,5,Alexander,Unknown,63789,Unknown,606,Poultry - Broiler,-81.2979,35.9283,4627.051065152693
86,80316,6,Alexander,Unknown,16907,Unknown,727,Poultry - Broiler,-81.2602,35.9267,5550.934198623775
154,133860,10,Alexander,Unknown,15727,Unknown,1211,Poultry - Broiler,-81.2322,35.9241,9246.466732508105
39,26772,2,Alexander,Unknown,12410,Unknown,242,Poultry - Broiler,-81.1645,35.9146,1847.7662669421645
252,40158,3,Alexander,Unknown,2881,Unknown,363,Poultry - Broiler,-81.1412,35.9004,2771.6494004132464
183,26772,2,Alexander,Unknown,2645,Unknown,242,Poultry - Broiler,-81.0956,35.9188,1847.7662669421645
239,26772,2,Alexander,Unknown,2025,Unknown,242,Poultry - Broiler,-81.0783,35.9202,1847.7662669421645
181,66930,5,Alexander,Unknown,6696,Unknown,606,Poultry - Broiler,-81.0503,35.9313,4627.051065152693
215,32980,4,Iredell,Unknown,4679,Unknown,503,Poultry - Layer,-81.0211,35.914,3840.6050920326807
220,16490,2,Iredell,Unknown,2291,Unknown,252,Poultry - Layer,-80.9659,35.8924,1924.1202449149812
592,16490,2,Iredell,Unknown,851,Unknown,252,Poultry - Layer,-80.9423,35.9079,1924.1202449149812
320,16490,2,Iredell,Unknown,1575,Unknown,252,Poultry - Layer,-80.9058,35.908,1924.1202449149812
647,16490,2,Iredell,Unknown,779,Unknown,252,Poultry - Layer,-80.7497,35.8986,1924.1202449149812
510,16490,2,Iredell,Unknown,988,Unknown,252,Poultry - Layer,-80.7188,35.9099,1924.1202449149812
352,119400,6,Davidson,Unknown,5682,Unknown,1000,Poultry - Broiler,-80.3044,35.8872,7635.397797281671
93,11240,2,Caldwell,Unknown,1742,Unknown,81,Poultry - Broiler,-81.3509,35.8824,618.4672215798154
26,26772,2,Alexander,Unknown,18615,Unknown,242,Poultry - Broiler,-81.3149,35.8997,1847.7662669421645
19,13386,1,Alexander,Unknown,12737,Unknown,121,Poultry - Broiler,-81.2869,35.8944,923.8831334710823
144,53544,4,Alexander,Unknown,6722,Unknown,484,Poultry - Broiler,-81.1964,35.893,3695.532533884329
418,13386,1,Alexander,Unknown,579,Unknown,121,Poultry - Broiler,-81.1472,35.8887,923.8831334710823
342,26772,2,Alexander,Unknown,1415,Unknown,242,Poultry - Broiler,-81.1261,35.8822,1847.7662669421645
73,80316,6,Alexander,Unknown,19918,Unknown,727,Poultry - Broiler,-81.0666,35.9023,5550.934198623775
393,187404,14,Alexander,Unknown,8631,Unknown,1696,Poultry - Broiler,-81.0365,35.8865,12949.634664189714
323,8245,1,Iredell,Unknown,780,Unknown,126,Poultry - Layer,-80.9389,35.8979,962.0601224574906
208,16490,2,Iredell,Unknown,2423,Unknown,252,Poultry - Layer,-80.905,35.8991,1924.1202449149812
117,16490,2,Iredell,Unknown,4308,Unknown,252,Poultry - Layer,-80.8946,35.8913,1924.1202449149812
509,32980,4,Iredell,Unknown,1976,Unknown,503,Poultry - Layer,-80.7812,35.8725,3840.6050920326807
454,16490,2,Iredell,Unknown,1110,Unknown,252,Poultry - Layer,-80.7328,35.8921,1924.1202449149812
554,10808,2,Davie,Unknown,516,Unknown,143,Poultry - Pullet,-80.7037,35.8904,1091.861885011279
684,5404,1,Davie,Unknown,211,Unknown,72,Poultry - Pullet,-80.6814,35.8946,549.7486414042803
52,53544,4,Alexander,Unknown,18615,Unknown,484,Poultry - Broiler,-81.2952,35.877,3695.532533884329
139,26772,2,Alexander,Unknown,3482,Unknown,242,Poultry - Broiler,-81.2183,35.8681,1847.7662669421645
75,53544,4,Alexander,Unknown,12907,Unknown,484,Poultry - Broiler,-81.2074,35.8838,3695.532533884329
234,80316,6,Alexander,Unknown,6214,Unknown,727,Poultry - Broiler,-81.1605,35.8638,5550.934198623775
394,26772,2,Alexander,Unknown,1228,Unknown,242,Poultry - Broiler,-81.1549,35.8844,1847.7662669421645
279,80316,6,Alexander,Unknown,5211,Unknown,727,Poultry - Broiler,-81.0957,35.875,5550.934198623775
419,8245,1,Iredell,Unknown,601,Unknown,126,Poultry - Layer,-80.9493,35.8723,962.0601224574906
355,8245,1,Iredell,Unknown,710,Unknown,126,Poultry - Layer,-80.923,35.8755,962.0601224574906
175,8245,1,Iredell,Unknown,1440,Unknown,126,Poultry - Layer,-80.9027,35.8822,962.0601224574906
187,24735,3,Iredell,Unknown,4043,Unknown,378,Poultry - Layer,-80.8831,35.8854,2886.1803673724717
451,16490,2,Iredell,Unknown,1118,Unknown,252,Poultry - Layer,-80.8339,35.8599,1924.1202449149812
202,16490,2,Iredell,Unknown,2495,Unknown,252,Poultry - Layer,-80.7284,35.8768,1924.1202449149812
283,10808,2,Davie,Unknown,1011,Unknown,143,Poultry - Pullet,-80.687,35.8758,1091.861885011279
184,5404,1,Davie,Unknown,783,Unknown,72,Poultry - Pullet,-80.651,35.8649,549.7486414042803
126,10808,2,Davie,Unknown,2270,Unknown,143,Poultry - Pullet,-80.437,35.8691,1091.861885011279
71,11240,2,Caldwell,Unknown,2282,Unknown,81,Poultry - Broiler,-81.432,35.8484,618.4672215798154
344,11240,2,Caldwell,Unknown,471,Unknown,81,Poultry - Broiler,-81.3868,35.8397,618.4672215798154
404,11240,2,Caldwell,Unknown,401,Unknown,81,Poultry - Broiler,-81.3744,35.8384,618.4672215798154
415,80316,6,Alexander,Unknown,3504,Unknown,727,Poultry - Broiler,-81.2255,35.8439,5550.934198623775
167,26772,2,Alexander,Unknown,2898,Unknown,242,Poultry - Broiler,-81.2182,35.866,1847.7662669421645
139,26772,2,Alexander,Unknown,3482,Unknown,242,Poultry - Broiler,-81.2136,35.8677,1847.7662669421645
539,32980,4,Iredell,Unknown,1866,Unknown,503,Poultry - Layer,-80.9663,35.8377,3840.6050920326807
469,8245,1,Iredell,Unknown,537,Unknown,126,Poultry - Layer,-80.9707,35.8384,962.0601224574906
535,16490,2,Iredell,Unknown,942,Unknown,252,Poultry - Layer,-80.9287,35.8601,1924.1202449149812
428,8245,1,Iredell,Unknown,589,Unknown,126,Poultry - Layer,-80.9223,35.8683,962.0601224574906
724,8245,1,Iredell,Unknown,348,Unknown,126,Poultry - Layer,-80.9029,35.8521,962.0601224574906
327,32980,4,Iredell,Unknown,3076,Unknown,503,Poultry - Layer,-80.7496,35.8631,3840.6050920326807
227,8245,1,Iredell,Unknown,1110,Unknown,126,Poultry - Layer,-80.7076,35.8641,962.0601224574906
362,10808,2,Davie,Unknown,790,Unknown,143,Poultry - Pullet,-80.6642,35.852,1091.861885011279
371,10808,2,Davie,Unknown,771,Unknown,143,Poultry - Pullet,-80.4663,35.8475,1091.861885011279
227,13386,1,Alexander,Unknown,1066,Unknown,121,Poultry - Broiler,-81.3339,35.828,923.8831334710823
170,80316,6,Alexander,Unknown,8553,Unknown,727,Poultry - Broiler,-81.1708,35.8431,5550.934198623775
236,40158,3,Alexander,SUPERIOR JERSEY FARM INC %,3076,Unknown,363,Poultry - Broiler,-81.1371,35.8505,2771.6494004132464
587,80316,6,Alexander,Unknown,2477,Unknown,727,Poultry - Broiler,-81.0833,35.8322,5550.934198623775
557,13386,1,Alexander,Unknown,434,Unknown,121,Poultry - Broiler,-81.0894,35.8408,923.8831334710823
706,16490,2,Iredell,Unknown,714,Unknown,252,Poultry - Layer,-81.0506,35.8459,1924.1202449149812
363,8245,1,Iredell,HUBBARD LLC,694,Unknown,126,Poultry - Layer,-80.9296,35.8384,962.0601224574906
255,24735,3,Iredell,CASE FARMS,2965,Unknown,378,Poultry - Layer,-80.7692,35.8298,2886.1803673724717
375,35760,2,Rowan,Unknown,1600,Unknown,300,Poultry - Broiler,-80.6617,35.8309,2290.6193391845013
379,21616,4,Davie,Unknown,1509,Unknown,286,Poultry - Pullet,-80.6652,35.8494,2183.723770022558
361,17880,1,Rowan,Unknown,831,Unknown,150,Poultry - Broiler,-80.6477,35.8197,1145.3096695922507
351,11240,2,Caldwell,Unknown,462,Unknown,81,Poultry - Broiler,-81.3936,35.8271,618.4672215798154
330,13386,1,Alexander,Unknown,733,Unknown,121,Poultry - Broiler,-81.123,35.8183,923.8831334710823
312,26772,2,Alexander,Unknown,1551,Unknown,242,Poultry - Broiler,-81.1151,35.8263,1847.7662669421645
857,24735,3,Iredell,Unknown,882,Unknown,378,Poultry - Layer,-81.0469,35.8145,2886.1803673724717
771,32980,4,Iredell,Unknown,1305,Unknown,503,Poultry - Layer,-80.9548,35.828,3840.6050920326807
480,8245,1,Iredell,Unknown,525,Unknown,126,Poultry - Layer,-80.755,35.8211,962.0601224574906
275,89400,5,Rowan,Unknown,5447,Unknown,749,Poultry - Broiler,-80.7268,35.7957,5718.912950163972
122,79600,4,Davidson,Unknown,10934,Unknown,667,Poultry - Broiler,-80.4079,35.7914,5092.810330786875
